iter	Passed	Remaining
432	847	1109
433	848	1106
434	849	1102
435	850	1099
436	851	1096
437	852	1093
438	853	1090
439	854	1087
440	856	1085
441	857	1082
442	858	1079
443	860	1076
444	861	1073
445	862	1071
446	863	1068
447	864	1065
448	865	1062
449	866	1059
450	868	1056
451	869	1054
452	870	1051
453	872	1048
454	873	1046
455	874	1043
456	875	1040
457	877	1037
458	878	1035
459	879	1032
460	880	1029
461	881	1026
462	882	1023
463	884	1021
464	885	1019
465	887	1016
466	888	1013
467	889	1011
468	890	1008
469	892	1005
470	893	1003
471	894	1000
472	895	997
473	896	994
474	897	992
475	898	989
476	900	986
477	901	984
478	902	981
479	903	978
480	904	975
481	905	973
482	906	970
483	907	967
484	908	965
485	909	962
486	911	959
487	912	956
488	913	954
489	914	951
490	915	948
491	916	946
492	918	944
493	919	941
494	920	939
495	922	936
496	923	934
497	924	932
498	925	929
499	927	927
500	928	924
501	928	921
502	930	919
503	931	916
504	932	914
505	934	912
506	935	909
507	936	907
508	938	905
509	939	902
510	940	900
511	942	897
512	943	895
513	944	893
514	945	890
515	947	888
516	948	885
517	949	883
518	950	880
519	951	878
520	952	876
521	954	873
522	955	871
523	956	868
524	957	866
525	958	864
526	959	861
527	961	859
528	962	856
529	963	854
530	964	852
531	965	849
532	966	847
533	967	844
534	969	842
535	970	839
536	971	837
537	972	834
538	973	832
539	974	829
540	975	827
541	976	825
542	977	822
543	978	820
544	979	818
545	981	815
546	982	813
547	983	810
548	984	808
549	985	806
550	986	803
551	987	801
552	989	799
553	990	797
554	992	795
555	994	793
556	995	791
557	997	789
558	998	787
559	1000	786
560	1001	783
561	1002	781
562	1004	779
563	1005	777
564	1006	775
565	1008	773
566	1009	771
567	1011	769
568	1012	766
569	1013	764
570	1015	762
571	1016	760
572	1017	758
573	1019	756
574	1021	754
575	1023	753
576	1024	751
577	1025	749
578	1027	747
579	1028	745
580	1030	743
581	1032	741
582	1033	739
583	1035	737
584	1036	735
585	1038	733
586	1039	731
587	1041	729
588	1042	727
589	1044	725
590	1045	723
591	1046	721
592	1048	719
593	1049	717
594	1051	715
595	1052	713
596	1054	711
597	1055	709
598	1057	707
599	1058	705
600	1059	703
601	1060	701
602	1062	699
603	1063	697
604	1064	695
605	1065	692
606	1067	691
607	1068	689
608	1070	687
609	1071	685
610	1072	683
611	1074	681
612	1075	679
613	1077	677
614	1078	675
615	1080	673
616	1081	671
617	1082	669
618	1084	667
619	1085	665
620	1087	663
621	1088	661
622	1089	659
623	1091	657
624	1093	655
625	1094	654
626	1096	652
627	1097	650
628	1099	648
629	1101	646
630	1102	644
631	1103	642
632	1105	640
633	1106	638
634	1109	637
635	1110	635
636	1112	633
637	1113	631
638	1115	629
639	1116	628
640	1118	626
641	1120	624
642	1121	622
643	1123	620
644	1125	619
645	1127	617
646	1128	615
647	1130	613
648	1131	611
649	1133	610
650	1135	608
651	1138	607
652	1139	605
653	1141	603
654	1142	601
655	1143	599
656	1145	597
657	1146	595
658	1147	593
659	1149	592
660	1150	590
661	1152	588
662	1153	586
663	1154	584
664	1156	582
665	1157	580
666	1158	578
667	1159	576
668	1161	574
669	1162	572
670	1164	570
671	1165	568
672	1166	566
673	1167	564
674	1169	562
675	1170	561
676	1171	559
677	1173	557
678	1174	555
679	1175	553
680	1176	551
681	1178	549
682	1179	547
683	1180	545
684	1182	543
685	1183	541
686	1184	539
687	1185	537
688	1186	535
689	1188	533
690	1189	531
691	1190	529
692	1191	527
693	1192	525
694	1193	523
695	1194	521
696	1195	519
697	1196	517
698	1198	515
699	1199	513
700	1200	511
701	1201	509
702	1202	508
703	1203	506
704	1204	504
705	1205	501
706	1206	499
707	1207	497
708	1208	495
709	1209	493
710	1210	492
711	1211	490
712	1212	488
713	1213	486
714	1214	484
715	1215	482
716	1216	480
717	1217	478
718	1218	476
719	1219	474
720	1220	472
721	1222	470
722	1223	468
723	1226	467
724	1227	465
725	1228	463
726	1229	461
727	1229	459
728	1231	457
729	1232	455
730	1233	453
731	1234	451
732	1235	450
733	1236	448
734	1238	446
735	1239	444
736	1240	442
737	1241	440
738	1242	438
739	1243	436
740	1243	434
741	1245	432
742	1246	431
743	1247	429
744	1248	427
745	1249	425
746	1250	423
747	1251	421
748	1252	419
749	1253	417
750	1254	416
751	1255	414
752	1256	412
753	1257	410
754	1258	408
755	1259	406
756	1260	404
757	1261	402
758	1262	401
759	1263	399
760	1265	397
761	1265	395
762	1267	393
763	1268	391
764	1269	389
765	1269	387
766	1271	386
767	1272	384
768	1273	382
769	1274	380
770	1275	378
771	1276	376
772	1277	375
773	1278	373
774	1279	371
775	1280	369
776	1281	367
777	1283	366
778	1284	364
779	1285	362
780	1286	360
781	1287	358
782	1288	357
783	1290	355
784	1291	353
785	1292	351
786	1294	350
787	1295	348
788	1296	346
789	1297	344
790	1299	343
791	1300	341
792	1301	339
793	1302	338
794	1304	336
795	1305	334
796	1306	332
797	1307	331
798	1309	329
799	1310	327
800	1311	325
801	1312	324
802	1314	322
803	1315	320
804	1316	318
805	1317	317
806	1319	315
807	1320	313
808	1322	312
809	1323	310
810	1324	308
811	1325	306
812	1326	305
813	1328	303
814	1329	301
815	1331	300
816	1332	298
817	1333	296
818	1334	294
819	1335	293
820	1337	291
821	1338	289
822	1340	288
823	1341	286
824	1342	284
825	1344	283
826	1345	281
827	1347	279
828	1348	278
829	1349	276
830	1350	274
831	1352	273
832	1353	271
833	1354	269
834	1355	267
835	1357	266
836	1358	264
837	1359	262
838	1360	261
839	1361	259
840	1363	257
841	1364	256
842	1365	254
843	1367	252
844	1368	251
845	1369	249
846	1370	247
847	1372	245
848	1373	244
849	1374	242
850	1375	240
851	1377	239
852	1378	237
853	1380	236
854	1382	234
855	1383	232
856	1384	231
857	1385	229
858	1386	227
859	1387	225
860	1389	224
861	1390	222
862	1391	220
863	1392	219
864	1393	217
865	1394	215
866	1396	214
867	1397	212
868	1398	210
869	1400	209
870	1401	207
871	1402	205
872	1403	204
873	1404	202
874	1405	200
875	1406	199
876	1407	197
877	1409	195
878	1410	194
879	1411	192
880	1413	190
881	1414	189
882	1416	187
883	1417	186
884	1418	184
885	1419	182
886	1420	181
887	1422	179
888	1423	177
889	1424	176
890	1425	174
891	1427	172
892	1428	171
893	1430	169
894	1431	167
895	1432	166
896	1433	164
897	1434	162
898	1436	161
899	1437	159
900	1438	158
901	1439	156
902	1440	154
903	1442	153
904	1443	151
905	1445	149
906	1446	148
907	1447	146
908	1449	145
909	1450	143
910	1451	141
911	1452	140
912	1453	138
913	1454	136
914	1456	135
915	1457	133
916	1458	132
917	1460	130
918	1461	128
919	1462	127
920	1463	125
921	1465	123
922	1466	122
923	1467	120
924	1468	119
925	1469	117
926	1470	115
927	1472	114
928	1473	112
929	1474	111
930	1475	109
931	1477	107
932	1478	106
933	1480	104
934	1481	102
935	1482	101
936	1483	99
937	1484	98
938	1485	96
939	1486	94
940	1487	93
941	1488	91
942	1490	90
943	1491	88
944	1492	86
945	1493	85
946	1495	83
947	1496	82
948	1497	80
949	1498	78
950	1499	77
951	1501	75
952	1502	74
953	1503	72
954	1505	70
955	1506	69
956	1507	67
957	1508	66
958	1509	64
959	1510	62
960	1512	61
961	1513	59
962	1514	58
963	1515	56
964	1517	55
965	1518	53
966	1519	51
967	1521	50
968	1522	48
969	1523	47
970	1525	45
971	1526	43
972	1528	42
973	1529	40
974	1530	39
975	1531	37
976	1533	36
977	1535	34
978	1536	32
979	1537	31
980	1538	29
981	1539	28
982	1540	26
983	1541	25
984	1542	23
985	1544	21
986	1545	20
987	1545	18
988	1546	17
989	1548	15
990	1549	14
991	1550	12
992	1551	10
993	1552	9
994	1553	7
995	1554	6
996	1555	4
997	1557	3
998	1558	1
999	1559	0
